Source,Target,Weight
DedBaldesh,SocialBoomTV,14
DedBaldesh,LAGTVMaximusBlack,13
DedBaldesh,OnlyMXC,13
DedBaldesh,Falcodrin,14
DedBaldesh,kinstaar,11
DedBaldesh,allkeyshop_tv,15
DedBaldesh,VELLOSO,9
DedBaldesh,weathernewslive,10
DedBaldesh,A1taOda,15
DedBaldesh,war10ck3d,9
DedBaldesh,OgamingSC2,13
DedBaldesh,souless,13
DedBaldesh,Abracadabra,17
DedBaldesh,StreamerHouse,14
DedBaldesh,its_WiKeD,10
JustGaBBo,JustGaBBo,0
Bonjwa,franchiseglobalart,14
Bonjwa,sukidingels,17
Bonjwa,Falcodrin,16
Bonjwa,allkeyshop_tv,17
Bonjwa,RocketBeansTV,33
Bonjwa,war10ck3d,13
Bonjwa,OgamingLoL,14
Bonjwa,OgamingSC2,11
Bonjwa,Abracadabra,13
Co1azo,scoped,260
Rakin,Rakin,0
BastiGHG,BastiGHG,0
Jacob4TV,Jacob4TV,0
Moonryde,Moonryde,0
Falcodrin,franchiseglobalart,19
Falcodrin,ToneEUW,12
Falcodrin,Cedduzzo,17
Falcodrin,killercam1020,33
Falcodrin,Athena,18
Falcodrin,DutchsinseOfficial,15
Falcodrin,LAGTVMaximusBlack,15
Falcodrin,OnlyMXC,20
Falcodrin,allkeyshop_tv,20
Falcodrin,VELLOSO,11
Falcodrin,war10ck3d,19
Falcodrin,OgamingLoL,15
Falcodrin,OgamingSC2,16
Falcodrin,Abracadabra,18
Falcodrin,StreamerHouse,17
Falcodrin,Insomniac,18
Distortion2,Distortion2,0
fuslie,TinaKitten,317
fuslie,QuarterJade,126
fuslie,Masayoshi,155
limit_maximum,limit_maximum,0
ElmiilloR,ElmiilloR,0
Payo,Payo,0
BarbarousKing,BarbarousKing,0
scump,scump,0
Sacriel,Klean,175
velox,velox,0
naseongkim,naseongkim,0
RakanooLive,RakanooLive,0
resttpowered,resttpowered,0
liminhag0d,mch_AGG,163
liminhag0d,Gaules,792
sweetdreams,TSM_ImperialHal,533
Shotz,Ssaab,290
mch_AGG,blxckoutz,166
mch_AGG,Saullo,173
mch_AGG,ThomeFN,131
mch_AGG,CSRfps,258
mch_AGG,VELLOSO,45
mch_AGG,c9judite,80
mch_AGG,paulanobre,101
mch_AGG,Gaules,617
ThomeFN,blxckoutz,314
ThomeFN,Saullo,100
ThomeFN,1DrakoNz,182
ThomeFN,CSRfps,148
ThomeFN,VELLOSO,60
ThomeFN,c9judite,46
ThomeFN,pulgaboy,122
ThomeFN,paulanobre,87
CSRfps,blxckoutz,183
CSRfps,Saullo,345
CSRfps,JohnPitterTV,183
CSRfps,VELLOSO,42
CSRfps,c9judite,71
CSRfps,yayahuz,111
CSRfps,paulanobre,89
CSRfps,Gaules,529
imaqtpie,Dyrus,127
Nick28T,Nick28T,0
Xari,Xari,0
GernaderJake,GernaderJake,0
Pieface23,Pieface23,0
A1taOda,franchiseglobalart,15
A1taOda,allkeyshop_tv,17
A1taOda,OgamingSC2,15
A1taOda,Abracadabra,15
c9judite,blxckoutz,65
c9judite,VELLOSO,32
LittleBigWhale,LittleBigWhale,0
BTMC,BTMC,0
Toqtir,Toqtir,0
Xop0,Xop0,0
QuarterJade,Masayoshi,159
itsRaikz,itsRaikz,0
RocketBeansTV,allkeyshop_tv,19
pulgaboy,blxckoutz,176
pulgaboy,1DrakoNz,149
war10ck3d,MissDoitBIG,7
war10ck3d,franchiseglobalart,13
war10ck3d,dtn_mukai,10
war10ck3d,ToneEUW,9
war10ck3d,killercam1020,12
war10ck3d,DutchsinseOfficial,11
war10ck3d,Timit,11
war10ck3d,OnlyMXC,15
war10ck3d,allkeyshop_tv,12
war10ck3d,VELLOSO,10
war10ck3d,weathernewslive,9
war10ck3d,OgamingLoL,11
war10ck3d,OgamingSC2,10
war10ck3d,souless,9
war10ck3d,ArcadeBulls,11
war10ck3d,Abracadabra,12
war10ck3d,StreamerHouse,12
war10ck3d,Insomniac,12
LLA,LLA,0
paulanobre,blxckoutz,97
paulanobre,frttt,140
VGBootCamp,VGBootCamp,0
Dyrus,Lacari,97
Dyrus,Saiiren,48
RatoBorrachudo,giganterichard,21
RatoBorrachudo,allkeyshop_tv,16
RatoBorrachudo,OgamingLoL,15
RatoBorrachudo,OgamingSC2,20
RatoBorrachudo,Insomniac,17
Shiphtur,Masayoshi,75
MasterSnakou,MasterSnakou,0
FollowGrubby,FollowGrubby,0
Kubon_,Kubon_,0
OgamingSC2,MissDoitBIG,10
OgamingSC2,franchiseglobalart,16
OgamingSC2,sukidingels,15
OgamingSC2,dtn_mukai,15
OgamingSC2,ToneEUW,11
OgamingSC2,Cedduzzo,17
OgamingSC2,killercam1020,17
OgamingSC2,Athena,16
OgamingSC2,DutchsinseOfficial,13
OgamingSC2,Timit,12
OgamingSC2,easywithaces,16
OgamingSC2,SocialBoomTV,12
OgamingSC2,Halifax,15
OgamingSC2,LAGTVMaximusBlack,16
OgamingSC2,giganterichard,15
OgamingSC2,OnlyMXC,15
OgamingSC2,PAAStreaming,6
OgamingSC2,kinstaar,10
OgamingSC2,allkeyshop_tv,18
OgamingSC2,VELLOSO,12
OgamingSC2,weathernewslive,14
OgamingSC2,OgamingLoL,22
OgamingSC2,SaltyBet,19
OgamingSC2,BTSBrasilTV,18
OgamingSC2,souless,16
OgamingSC2,dandogg9,18
OgamingSC2,gratis150ml,11
OgamingSC2,ArcadeBulls,17
OgamingSC2,Abracadabra,15
OgamingSC2,StreamerHouse,16
OgamingSC2,its_WiKeD,11
OgamingSC2,Insomniac,16
moogrr1211,moogrr1211,0
Low4n,Low4n,0
akaNemsko,akaNemsko,0
souless,MissDoitBIG,12
souless,franchiseglobalart,13
souless,killercam1020,11
souless,Athena,16
souless,Halifax,16
souless,LAGTVMaximusBlack,15
souless,OnlyMXC,14
souless,allkeyshop_tv,13
souless,weathernewslive,11
souless,OgamingLoL,12
souless,ArcadeBulls,14
souless,Abracadabra,14
souless,its_WiKeD,14
souless,Insomniac,13
snoodyboo,snoodyboo,0
NeZaK_,NeZaK_,0
Patriota,Patriota,0
Peereira7,Peereira7,0
Crystalst,Saiiren,36
xPandorya,GronkhTV,64
xPandorya,RoyalPhunk,74
Klean,Klean,0
Reverse2k,Reverse2k,0
gratis150ml,allkeyshop_tv,8
RoyalPhunk,GronkhTV,90
Lacari,Saiiren,82
Lacari,forsen,418
AgenteMaxo,AgenteMaxo,0
TheRealMarzaa,TheRealMarzaa,0
Abracadabra,MissDoitBIG,10
Abracadabra,franchiseglobalart,17
Abracadabra,dtn_mukai,14
Abracadabra,ToneEUW,11
Abracadabra,Cedduzzo,19
Abracadabra,killercam1020,12
Abracadabra,Athena,17
Abracadabra,DutchsinseOfficial,11
Abracadabra,Timit,14
Abracadabra,SocialBoomTV,13
Abracadabra,Halifax,14
Abracadabra,LAGTVMaximusBlack,16
Abracadabra,giganterichard,18
Abracadabra,OnlyMXC,16
Abracadabra,kinstaar,10
Abracadabra,allkeyshop_tv,20
Abracadabra,VELLOSO,11
Abracadabra,weathernewslive,11
Abracadabra,OgamingLoL,11
Abracadabra,ArcadeBulls,13
Abracadabra,Saiiren,16
Abracadabra,StreamerHouse,18
Abracadabra,its_WiKeD,13
Abracadabra,Insomniac,21
StreamerHouse,franchiseglobalart,16
StreamerHouse,ToneEUW,14
StreamerHouse,Cedduzzo,20
StreamerHouse,Athena,19
StreamerHouse,LAGTVMaximusBlack,16
StreamerHouse,OnlyMXC,18
StreamerHouse,allkeyshop_tv,19
StreamerHouse,VELLOSO,14
StreamerHouse,OgamingLoL,13
StreamerHouse,ArcadeBulls,15
StreamerHouse,Insomniac,17
Altair,Altair,0
pilavpowa,pilavpowa,0
Spraggy,easywithaces,91
JERICHO,JERICHO,0
zorlaKOKA,zorlaKOKA,0
its_WiKeD,MissDoitBIG,12
its_WiKeD,franchiseglobalart,11
its_WiKeD,killercam1020,10
its_WiKeD,LAGTVMaximusBlack,14
its_WiKeD,OnlyMXC,12
its_WiKeD,allkeyshop_tv,12
its_WiKeD,weathernewslive,10
its_WiKeD,OgamingLoL,11
its_WiKeD,Insomniac,12
Pace22,Pace22,0
Chap,kyliebitkin,109
jcorko_,jcorko_,0
ALOHADANCETV,ALOHADANCETV,0
Kotton,Kotton,0
Nokokopuffs,Nokokopuffs,0
shroud,shroud,0
LCS,LCS,0
HasanAbi,Mizkif,1386
Trymacs,Trymacs,0
YoDa,YoDa,0
SypherPK,SypherPK,0
Jelty,Jelty,0
T90Official,T90Official,0
HusKerrs,HusKerrs,0
TSM_ImperialHal,TSM_ImperialHal,0
Insomniac,MissDoitBIG,11
Insomniac,franchiseglobalart,15
Insomniac,dtn_mukai,15
Insomniac,ToneEUW,11
Insomniac,Cedduzzo,16
Insomniac,killercam1020,13
Insomniac,DutchsinseOfficial,12
Insomniac,Halifax,15
Insomniac,LAGTVMaximusBlack,16
Insomniac,OnlyMXC,14
Insomniac,allkeyshop_tv,16
Insomniac,weathernewslive,11
Insomniac,OgamingLoL,14
Insomniac,ArcadeBulls,16
Kamet0,Kamet0,0
NoWay4u_Sir,NoWay4u_Sir,0
sodapoppin,cyr,643
sodapoppin,forsen,1443
sodapoppin,Mizkif,1679
